eval_ep_rewmean,eval_time_elapsed,total timesteps,eval_eplenmean,eval_qs_difference,eval_discount_q,eval_abs_qs_difference,eval_qs,eval mean 100 episode reward,act_time,discount_q,qs_difference,train_time,eplenmean,n_updates,ep_rewmean,mean 100 episode reward,env_time,time_elapsed,fps,update_time,current_lr,qs_mean,qs_abs_difference,episodes,q_grad_norm,qfs_loss
,,348000,,,,,,,273,2.548231162750995e-12,2.983640327114983,7219,1000.0,646200,151.50817124000002,151.5,506,23585,14,14599,0.0003,14.711745,2.983640327114983,348,0.28488117,0.0011257257
146.8344759090909,23,350001,1000.0,3.157672186038061,32.754961387352004,3.1634011,14.598379,156.1,,,,,,,,,,,,,,,,,,
,,352000,,,,,,,276,2.5882609009693065e-12,3.8676712096915606,7310,1000.0,654200,151.29078476,151.3,511,23906,14,14794,0.0003,14.993244,3.8676712096915606,352,0.335935,0.0011184212
,,356000,,,,,,,279,2.5926466144941106e-12,3.1108447834352373,7399,1000.0,662200,151.34961890000002,151.3,517,24203,14,14992,0.0003,14.932449,3.1108447834352373,356,0.31801122,0.0011848691
,,360000,,,,,,,283,2.5778448037204914e-12,3.002412832570337,7489,1000.0,670200,151.49051100000003,151.5,523,24508,14,15194,0.0003,15.055593,3.002412832570337,360,0.28976974,0.0010804553
152.65713954545456,24,360001,1000.0,2.6990805750697837,33.60129956629613,2.707521,14.638266,155.6,,,,,,,,,,,,,,,,,,
,,364000,,,,,,,286,2.5726535328096395e-12,2.905757622788096,7577,1000.0,678200,151.33384044,151.3,529,24823,14,15386,0.0003,14.840094,2.905757622788096,364,0.31688508,0.0011642596
,,368000,,,,,,,290,2.6921735073013886e-12,2.8791213691504933,7667,1000.0,686200,151.6701534,151.7,535,25117,14,15579,0.0003,14.885401,2.8791213691504933,368,0.25094223,0.0009175454
144.43887781818185,21,370001,1000.0,3.481325394682577,33.250542369521504,3.491462,14.633408,154.2,,,,,,,,,,,,,,,,,,
,,372000,,,,,,,293,2.537998049657763e-12,3.656643864209913,7759,1000.0,694200,151.65892996,151.7,541,25431,14,15768,0.0003,15.16813,3.656643864209913,372,0.30974978,0.0011299774
