eval_eplenmean,eval_qs_difference,eval_time_elapsed,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,total timesteps,eval_qs,eval_abs_qs_difference,ep_rewmean,discount_q,env_time,update_time,episodes,current_lr,eplenmean,qs_difference,fps,qs_abs_difference,train_time,time_elapsed,act_time,mean 100 episode reward,n_updates,qs_mean,qfs_loss,q_grad_norm
,,,,,,288000,,,131.3606021,2.761173404366e-12,415,11621,288,0.0003,1000.0,3.09925819710787,15,3.09925819710787,5798,18893,231,131.4,526200,13.664206,0.0020758987,0.4021115
1000.0,2.988135023483714,24,137.3,139.64244045454544,32.62081116592537,290001,13.7229185,2.997114,,,,,,,,,,,,,,,,,,
,,,,,,292000,,,131.94823816,2.573584723932124e-12,421,11819,292,0.0003,1000.0,3.046419542011673,15,3.046419542011673,5886,19214,234,131.9,534200,13.629672,0.002370026,0.44923982
,,,,,,296000,,,133.34169716,2.5953552493256944e-12,426,12010,296,0.0003,1000.0,3.5341534363569225,15,3.5341534363569225,5975,19506,238,133.3,542200,13.720223,0.0017016302,0.42977005
,,,,,,300000,,,133.84345052000003,2.577597044775382e-12,432,12211,300,0.0003,1000.0,3.2551799675965474,15,3.2551799675965474,6065,19807,241,133.8,550200,13.735186,0.0021955753,0.47581267
1000.0,2.8127154286129885,24,139.3,142.37005036363638,33.01232317488518,300001,13.7815,2.8167105,,,,,,,,,,,,,,,,,,
,,,,,,304000,,,134.48651565999998,2.67331669985581e-12,438,12407,304,0.0003,1000.0,3.1693659643239545,15,3.1693659643239545,6154,20128,244,134.5,558200,13.751229,0.0023803366,0.59680647
,,,,,,308000,,,135.2331427,2.5712298413804158e-12,443,12603,308,0.0003,1000.0,3.0613943310062326,15,3.0613943310062326,6241,20421,248,135.2,566200,14.386282,0.0020085112,0.45904243
1000.0,2.7082556186598192,24,140.4,143.9035747272727,32.60834274498046,310001,13.870386,2.7113023,,,,,,,,,,,,,,,,,,
,,,,,,312000,,,135.93298255,2.6470304749772737e-12,449,12799,312,0.0003,1000.0,3.0356657541320673,15,3.0356657541320673,6328,20740,251,135.9,574200,13.895721,0.002366136,0.5167596
