eval_qs_difference,eval_eplenmean,eval_ep_rewmean,eval_time_elapsed,total timesteps,eval_discount_q,eval_qs,eval_abs_qs_difference,eval mean 100 episode reward,current_lr,update_time,discount_q,fps,time_elapsed,episodes,qs_abs_difference,ep_rewmean,env_time,eplenmean,mean 100 episode reward,train_time,act_time,qs_difference,n_updates,qs_mean,qfs_loss,q_grad_norm
,,,,188000,,,,,0.0003,6678,2.4747390451990327e-12,16,11248,188,4.362640370384796,73.06304949000001,273,1000.0,73.1,3630,140,4.362640370384796,326200,12.155518,0.004009836,0.56776357
4.4852066021204555,1000.0,108.807037,23,190001,30.872451182291886,12.309539,4.485207,76.7,,,,,,,,,,,,,,,,,,
,,,,192000,,,,,0.0003,6870,2.624519503156664e-12,16,11564,192,4.734626824054681,75.51660954,279,1000.0,75.5,3720,143,4.734626824054681,334200,12.385188,0.0034223772,0.5097775
,,,,196000,,,,,0.0003,7069,2.297209363249265e-12,16,11865,196,4.9473390777327495,77.76744475000001,285,1000.0,77.8,3811,147,4.9473390777327495,342200,12.085607,0.003024658,0.46855536
,,,,200000,,,,,0.0003,7262,2.394377339519567e-12,16,12161,200,4.477271870732046,80.09020660000002,291,1000.0,80.1,3903,150,4.477271870732046,350200,12.430053,0.003986529,0.62430805
4.407282288110275,1000.0,110.22685418181821,23,200001,30.4546425730754,12.414959,4.407282,83.2,,,,,,,,,,,,,,,,,,
,,,,204000,,,,,0.0003,7453,2.445275056044126e-12,16,12472,204,4.446261071961511,82.60130034000002,297,1000.0,82.6,3989,154,4.446261071961511,358200,12.562519,0.0033922784,0.5116901
,,,,208000,,,,,0.0003,7641,2.3588548160033003e-12,16,12759,208,4.606694301238862,85.14769283,303,1000.0,85.1,4077,157,4.606694301238862,366200,12.589169,0.0036919871,0.4661997
4.325740999475936,1000.0,113.699562,24,210001,30.113776569152318,12.714433,4.325741,89.6,,,,,,,,,,,,,,,,,,
,,,,212000,,,,,0.0003,7835,2.4325751158364917e-12,16,13076,212,4.670670725358068,87.75818397,308,1000.0,87.8,4165,160,4.670670725358068,374200,12.794487,0.003072991,0.48985776
