eval_ep_rewmean,eval_qs,eval_abs_qs_difference,eval_eplenmean,eval_discount_q,total timesteps,eval mean 100 episode reward,eval_time_elapsed,eval_qs_difference,n_updates,current_lr,env_time,act_time,update_time,fps,episodes,time_elapsed,ep_rewmean,qs_abs_difference,eplenmean,qs_mean,discount_q,train_time,qs_difference,mean 100 episode reward,qfs_loss,q_grad_norm
,,,,,224000,,,,398200,0.0003,320,173,8483,16,224,13999,152.26011611,5.836952944163737,1000.0,17.08664,2.703176042941855e-12,4375,5.836952944163737,152.3,0.003614702,0.53445417
,,,,,228000,,,,406200,0.0003,326,176,8675,15,228,14287,153.29782846,5.997725425312603,1000.0,17.363571,2.6698064069882454e-12,4460,5.997725425312603,153.3,0.003428156,0.55166966
159.43315945454543,17.025188,4.40728,1000.0,33.58998388925646,230001,149.2,23,4.407280036979022,,,,,,,,,,,,,,,,,,
,,,,,232000,,,,414200,0.0003,332,179,8874,15,232,14610,154.4255939,4.859646489862532,1000.0,17.153532,2.7068534854087532e-12,4550,4.859646489862532,154.4,0.002923001,0.555725
,,,,,236000,,,,422200,0.0003,337,183,9070,15,236,14905,154.97043793,4.781346905545015,1000.0,17.014872,2.656054759694173e-12,4637,4.781346905545015,155.0,0.0032367005,0.5597932
,,,,,240000,,,,430200,0.0003,343,186,9263,15,240,15195,155.53321894,4.682375567192686,1000.0,16.895586,2.730013682434471e-12,4724,4.682375567192686,155.5,0.002988348,0.5530013
159.3236989090909,17.064621,4.4750443,1000.0,33.76559339266588,240001,150.0,22,4.475044482173637,,,,,,,,,,,,,,,,,,
,,,,,244000,,,,438200,0.0003,349,190,9458,15,244,15510,155.40836797,4.545105961312204,1000.0,17.137062,2.5115173413710323e-12,4812,4.545105961312204,155.4,0.002892148,0.51034534
,,,,,248000,,,,446200,0.0003,354,193,9656,15,248,15810,155.14721247,5.760113611072675,1000.0,16.769531,2.701254306050225e-12,4902,5.760113611072675,155.1,0.0023534962,0.5607428
152.5839153636364,16.835283,4.8168964,1000.0,32.72731486529389,250001,150.6,24,4.81689590172562,,,,,,,,,,,,,,,,,,
,,,,,252000,,,,454200,0.0003,360,196,9850,15,252,16128,155.5131058,4.66589502944219,1000.0,16.95374,2.6993969979844645e-12,4990,4.66589502944219,155.5,0.0023648506,0.48728135
,,,,,256000,,,,462200,0.0003,366,200,10043,15,256,16420,155.58541258,4.699264575044841,1000.0,16.66114,2.6632387566072376e-12,5079,4.699264575044841,155.6,0.0018736742,0.4451726
,,,,,260000,,,,470200,0.0003,372,203,10229,15,260,16708,155.46430257,5.3964957252247405,1000.0,16.987581,2.7600087404450875e-12,5170,5.3964957252247405,155.5,0.0019743515,0.47219044
157.71092927272727,16.89907,4.4256682,1000.0,33.31001177396906,260001,150.6,23,4.425668810223788,,,,,,,,,,,,,,,,,,
,,,,,264000,,,,478200,0.0003,377,207,10429,15,264,17031,155.76026902,4.735379157630936,1000.0,16.901674,2.707646022052841e-12,5259,4.735379157630936,155.8,0.0018934932,0.42244813
,,,,,268000,,,,486200,0.0003,383,210,10628,15,268,17331,155.57059432000003,5.432940479029502,1000.0,17.06427,2.5460005862846174e-12,5348,5.432940479029502,155.6,0.001665661,0.41947156
134.92612318181816,16.24472,5.931154,1000.0,32.111573674528806,270001,148.4,24,5.931153753920341,,,,,,,,,,,,,,,,,,
,,,,,272000,,,,494200,0.0003,389,213,10824,15,272,17649,155.29932692000003,5.417463992316,1000.0,16.94084,2.5286789529977456e-12,5436,5.417463992316,155.3,0.0016530387,0.47553855
,,,,,276000,,,,502200,0.0003,395,217,11024,15,276,17949,155.1193555,4.7437799328433705,1000.0,16.987278,2.605666648964776e-12,5524,4.7437799328433705,155.1,0.0015756413,0.3869564
,,,,,280000,,,,510200,0.0003,400,220,11221,15,280,18246,154.79155765999997,4.6884539533078256,1000.0,16.69823,2.7270585607633305e-12,5613,4.6884539533078256,154.8,0.0020753013,0.46210724
153.08183845454548,16.520329,4.5105124,1000.0,33.316846284379785,280001,145.9,23,4.5105124516022945,,,,,,,,,,,,,,,,,,
,,,,,284000,,,,518200,0.0003,406,224,11417,15,284,18563,154.42355048,4.903628239613492,1000.0,17.604929,2.0752739402034098e-12,5700,4.903628239613492,154.4,0.0037395218,0.47911116
,,,,,288000,,,,526200,0.0003,412,227,11614,15,288,18860,149.37021447,19.90974429035648,1000.0,21.582928,2.1038402252368315e-12,5788,19.90974429035648,149.4,0.0034208407,0.4578322
38.63565527272727,18.337355,17.016283,1000.0,25.681755369556324,290001,134.4,24,17.01628292537409,,,,,,,,,,,,,,,,,,
,,,,,292000,,,,534200,0.0003,417,230,11812,15,292,19181,145.76084868,16.391000272171613,1000.0,17.263725,1.955337483288489e-12,5877,16.391000272171613,145.8,0.002659031,0.42003375
,,,,,296000,,,,542200,0.0003,423,234,12011,15,296,19479,143.1949703,4.6824469129424635,1000.0,16.811031,2.7585017722472207e-12,5965,4.6824469129424635,143.2,0.0030213953,0.45616487
